date,open,high,low,close,volume
2023-08-28,14.768,14.768,14.078,14.178,870675.0
2023-08-29,14.188,14.678,14.118,14.618,604359.0
2023-08-30,14.758,15.118,14.678,14.778,645082.0
2023-08-31,14.758,14.888,14.648,14.778,398494.0
2023-09-01,14.828,14.988,14.808,14.888,320473.0
2023-09-04,14.968,15.308,14.878,15.268,526252.0
2023-09-05,15.268,15.498,15.148,15.248,457085.0
2023-09-06,15.148,15.538,15.128,15.448,491580.0
2023-09-07,15.448,15.458,15.078,15.078,437076.0
2023-09-08,15.028,15.208,14.998,15.128,283321.0
2023-09-11,15.288,15.538,15.158,15.458,485744.0
2023-09-12,15.398,15.538,15.308,15.458,302015.0
2023-09-13,15.308,15.358,14.888,15.018,433332.0
2023-09-14,15.008,15.118,14.798,14.848,262926.0
2023-09-15,14.938,15.178,14.668,14.808,344775.0
2023-09-18,14.758,15.238,14.698,14.948,457767.0
2023-09-19,14.948,14.958,14.668,14.698,280823.0
2023-09-20,14.618,14.848,14.598,14.608,245197.0
2023-09-21,14.558,14.688,14.478,14.498,230380.0
2023-09-22,14.478,15.208,14.428,15.208,663325.0
2023-09-25,15.208,15.308,14.968,14.988,363646.0
2023-09-26,14.958,14.988,14.638,14.778,290141.0
2023-09-27,14.778,15.018,14.718,14.758,310118.0
2023-09-28,14.808,15.468,14.808,15.238,722894.0
2023-10-09,15.688,16.818,15.558,16.818,1872378.0
2023-10-10,17.058,17.058,16.518,16.608,1433578.0
2023-10-11,16.598,18.238,16.548,17.768,2521365.0
2023-10-12,17.818,18.168,17.628,17.808,1483347.0
2023-10-13,17.658,18.208,17.558,17.788,1296462.0
2023-10-16,17.788,17.898,17.148,17.268,1218999.0
2023-10-17,17.558,17.748,17.168,17.308,792279.0
2023-10-18,17.168,17.228,16.728,16.768,830998.0
2023-10-19,16.608,16.978,16.438,16.518,691836.0
2023-10-20,16.398,16.628,16.048,16.118,627759.0
2023-10-23,16.158,16.958,15.768,16.538,1112658.0
2023-10-24,16.438,16.628,16.078,16.458,820316.0
2023-10-25,16.458,16.878,16.058,16.648,1006670.0
2023-10-26,16.548,16.988,16.348,16.738,793165.0
2023-10-27,16.358,17.148,16.008,16.888,1051522.0
2023-10-30,16.898,17.748,16.828,17.618,1305728.0
2023-10-31,17.448,17.748,17.338,17.488,812238.0
2023-11-01,17.508,17.658,17.228,17.238,521881.0
2023-11-02,17.248,17.378,16.978,17.008,469859.0
2023-11-03,17.048,17.958,17.048,17.748,1091097.0
2023-11-06,17.858,18.608,17.708,18.378,1366458.0
2023-11-07,18.298,18.768,18.238,18.448,1030632.0
2023-11-08,18.418,18.428,18.008,18.138,791143.0
2023-11-09,18.108,18.378,17.898,18.048,586762.0
2023-11-10,18.058,19.308,17.988,18.848,1833397.0
2023-11-13,18.818,19.048,18.508,18.648,927083.0
2023-11-14,18.618,18.818,18.378,18.578,650517.0
2023-11-15,18.748,18.898,18.558,18.708,797252.0
2023-11-16,18.648,18.718,18.358,18.358,591001.0
2023-11-17,18.298,18.798,18.278,18.698,677243.0
2023-11-20,18.668,18.688,18.178,18.238,770775.0
2023-11-21,18.238,18.368,17.968,18.018,539666.0
2023-11-22,18.018,18.118,17.758,17.768,544191.0
2023-11-23,17.758,17.958,17.638,17.888,435515.0
2023-11-24,17.858,17.858,17.468,17.548,450867.0
2023-11-27,17.538,17.698,17.398,17.598,370919.0
2023-11-28,17.738,18.038,17.688,17.888,534383.0
2023-11-29,17.828,17.988,17.628,17.658,337231.0
2023-11-30,17.558,17.658,17.298,17.458,389450.0
2023-12-01,17.638,17.828,17.408,17.728,400197.0
2023-12-04,17.678,17.738,17.318,17.338,403208.0
2023-12-05,17.278,17.318,16.828,16.828,398536.0
2023-12-06,16.828,17.018,16.808,16.868,337283.0
2023-12-07,16.818,17.378,16.628,16.898,413238.0
2023-12-08,16.948,17.478,16.738,17.198,617372.0
2023-12-11,17.108,18.148,17.038,18.058,876993.0
2023-12-12,17.958,18.238,17.898,18.198,526571.0
2023-12-13,18.148,18.288,17.998,18.088,405559.0
2023-12-14,18.178,18.458,17.998,18.008,478891.0
